ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
45957;Zoltn dm Harcsa;M;23.0;184.0;75.0;Hungary;HUN;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Middleweight;
46195;Audley Hugh Harrison;M;28.0;198.0;110.0;Great Britain;GBR;2000 Summer;2000;Summer;Sydney;Boxing Men's Super-Heavyweight;Gold
46265;Stefan Hrtel;M;24.0;184.0;75.0;Germany;GER;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
46344;Artem Harutyunyan;M;25.0;172.0;64.0;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Welterweight;Bronze
46525;Hamza Hassine;M;22.0;176.0;64.0;Tunisia;TUN;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Welterweight;
46757;"Douglas Ma'afu ""Doug"" Hawke";M;27.0;192.0;103.0;Tonga;TGA;2004 Summer;2004;Summer;Athina;Boxing Men's Super-Heavyweight;
48058;Nico Miguel Hernandez;M;20.0;165.0;49.0;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Flyweight;Bronze
48089;Yampier Hernndez Gonzales;M;23.0;165.0;48.0;Cuba;CUB;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Flyweight;Bronze
48091;Yoan Pablo Hernndez Surez;M;19.0;190.0;81.0;Cuba;CUB;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Heavyweight;
48102;Juan Hernndez Sierra;M;31.0;185.0;67.0;Cuba;CUB;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Middleweight;
48169;Jamel Herring;M;26.0;178.0;64.0;United States;USA;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;
48514;Mohamed Abdel Mawgoud Abu Al-Futuh Hikal;M;21.0;175.0;71.0;Egypt;EGY;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Middleweight;
48514;Mohamed Abdel Mawgoud Abu Al-Futuh Hikal;M;25.0;175.0;71.0;Egypt;EGY;2004 Summer;2004;Summer;Athina;Boxing Men's Welterweight;
48514;Mohamed Abdel Mawgoud Abu Al-Futuh Hikal;M;29.0;175.0;71.0;Egypt;EGY;2008 Summer;2008;Summer;Beijing;Boxing Men's Middleweight;
48514;Mohamed Abdel Mawgoud Abu Al-Futuh Hikal;M;33.0;175.0;71.0;Egypt;EGY;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
48605;Winston Hill;M;22.0;;;Fiji;FIJ;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Welterweight;
48643;Ramy Hilmi Muhammad Ibrahim El-Awady;M;22.0;165.0;49.0;Egypt;EGY;2012 Summer;2012;Summer;London;Boxing Men's Light-Flyweight;
48653;Moustapha Abdoulaye Hima;M;20.0;183.0;;Niger;NIG;2012 Summer;2012;Summer;London;Boxing Men's Welterweight;
